"","category","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30"
"1","u.s.",0.117875162369231,0.111833997042593,0.0780137514623019,0.0676669429429518,0.118194388717679,0.0763702317791606,0.0690356595664349,0.123306180004791,0.0639887565427577,0.0477973262651006,0.0606295002824598,0.107834289855812,0.105679276759979,0.0742262046571186,0.0742262046571186,0.0796379477763365,0.0990417904336844,0.0795212144572285,0.0903126114019617,0.0301532110748063,0.0921795724940639,0.0921795724940639,0.0884310683442452,0.134042669614901,0.0780412350296796,0.0832402909873909,0.0226352810517531,0.029556452673069,0.029556452673069,0.101612579513896
"2","world",0.111833997042593,0.137239527770708,0.0783234179875887,0.068586367116996,0.114064941827442,0.0708484100369233,0.0707374224942619,0.111213944766852,0.05462246548151,0.0497017351564644,0.0616515743787727,0.117692780737984,0.126755029595866,0.0741435531642006,0.0741435531642006,0.095497749821038,0.0969019662024947,0.0827474432721957,0.0994749194472695,0.0286450320243085,0.0884333709331478,0.0884333709331478,0.0837933696716626,0.112203808906884,0.0781875529286044,0.0711590449033947,0.0205291195504435,0.0306404968191146,0.0306404968191146,0.0996799382694946
"3","sports",0.0780137514623019,0.0783234179875887,0.119127791618412,0.0692588383963658,0.081985259071757,0.0554421436499399,0.0866781436638228,0.0861354554223987,0.053995748361258,0.0491195394933058,0.0523239181753684,0.07298865095932,0.0683960213455473,0.0758477763100468,0.0758477763100468,0.0662898720581189,0.0829239842990222,0.0726273141050945,0.0974724365155176,0.0248004907698182,0.0727793228488392,0.0727793228488392,0.0710582054065284,0.0878517727629811,0.0721565167576812,0.0589494996926623,0.0244000174515398,0.0409166724394883,0.0409166724394883,0.0781932433696341
"4","arts",0.0676669429429518,0.068586367116996,0.0692588383963658,0.0958153512633546,0.0794306533566044,0.048601275640358,0.137523071577319,0.0825267368260382,0.0666320872446853,0.0562935151197989,0.0604848027336955,0.0727146342537291,0.0647565572134877,0.0877149114388386,0.0877149114388386,0.0670223113506387,0.0818470467582804,0.110202635227817,0.0994945220638525,0.0228058871423748,0.0689350246799965,0.0689350246799965,0.0725981472705094,0.0795199174550439,0.112207256879971,0.0710860078974031,0.0299761004327678,0.0435392007030203,0.0435392007030203,0.0787894562081873
"5","real estate",0.118194388717679,0.114064941827443,0.081985259071757,0.0794306533566044,0.202133960492769,0.0825195856257165,0.0701071057832058,0.144656852895291,0.0816474855027036,0.0528443711883575,0.0665411234862769,0.107635877049755,0.105388618382098,0.116724075884902,0.116724075884902,0.0946231045604255,0.114480481243746,0.0872776631222619,0.152075000189278,0.0303820406443275,0.10715703368306,0.10715703368306,0.101181411178124,0.171008896760609,0.0827995083604189,0.0794848755567446,0.0235289686334723,0.0352554976833357,0.0352554976833357,0.127533684478666
"6","business",0.0763702317791605,0.0708484100369234,0.05544214364994,0.0486012756403579,0.0825195856257165,0.141950057430673,0.0509261551087524,0.0833795056575406,0.0525541095016078,0.0304622311110281,0.0452374112683867,0.0630962011824731,0.0628423852197987,0.0542980717050255,0.0542980717050255,0.0503120988405927,0.0719278076466733,0.055219916078291,0.0698082716539,0.0211143800543445,0.0619079644670625,0.0619079644670625,0.0963750302821915,0.0977036920333419,0.049609033666281,0.0513061042555856,0.0153217205914392,0.0207312441072422,0.0207312441072422,0.0762832433011753
"7","theater",0.0690356595664349,0.0707374224942619,0.0866781436638229,0.137523071577319,0.0701071057832058,0.0509261551087525,0.205222947475154,0.0892170775493276,0.0729265325142395,0.0680155064288702,0.0677806212847751,0.0811858417675439,0.0657415999183371,0.0899036850584444,0.0899036850584444,0.0722271776300493,0.0893437260385309,0.107899761493593,0.108408449534066,0.022182207161671,0.0710871956518804,0.0710871956518804,0.0731723233028656,0.069987177431479,0.128045433051714,0.0786883081424593,0.0318994195529299,0.0507439102725181,0.0507439102725181,0.0865023773984347
"8","health",0.123306180004791,0.111213944766852,0.0861354554223987,0.0825267368260383,0.144656852895291,0.0833795056575405,0.0892170775493276,0.142623988884063,0.0744270797260099,0.0582627493312449,0.069571156523166,0.105926242038805,0.10282314271546,0.0951893244583792,0.0951893244583792,0.0844205548010176,0.162402328591846,0.0939750957050006,0.118109440535832,0.028574496593853,0.0982719413153384,0.0982719413153384,0.113657008240394,0.143347119720195,0.0881616676126405,0.0791768112188452,0.0254105624522662,0.0456507158120741,0.0456507158120741,0.139708338431799
"9","style",0.0639887565427578,0.05462246548151,0.0539957483612579,0.0666320872446853,0.0816474855027036,0.0525541095016077,0.0729265325142395,0.07442707972601,0.0957605053151107,0.0429237654137881,0.0498168285499795,0.0590232450529361,0.0525756360533273,0.0990096891208856,0.0990096891208856,0.043784916077284,0.0686246498105376,0.066605661389574,0.0849362046857301,0.0225194795723194,0.0625651815348611,0.0625651815348611,0.0697876899361258,0.0889608210173082,0.0636974124350997,0.0772797348658428,0.0367710111422946,0.0726867841259411,0.0726867841259411,0.0697758933604079
"10","magazine",0.0477973262651005,0.0497017351564644,0.0491195394933058,0.0562935151197989,0.0528443711883576,0.0304622311110281,0.0680155064288702,0.0582627493312449,0.0429237654137881,0.0458893065992523,0.0545034295325427,0.0492662316219766,0.0600800526795459,0.0610728740810524,0.0610728740810524,0.0549959513485128,0.0583651650137825,0.0632119068615008,0.105241555326823,0.0261870987596033,0.0499533129576176,0.0499533129576176,0.0474024615266545,0.0688929256157178,0.0588096924733953,0.0423190257482357,0.0203951196608112,0.0403133141294048,0.0403133141294048,0.0641313059917545
"11","opinion",0.0606295002824598,0.0616515743787727,0.0523239181753684,0.0604848027336954,0.0665411234862769,0.0452374112683868,0.0677806212847751,0.0695711565231657,0.0498168285499795,0.0545034295325427,0.0582772638792032,0.0592066631250036,0.0614290073400774,0.0626414815096925,0.0626414815096925,0.0517422123453807,0.0645000634153816,0.0683542945467052,0.0747822075400828,0.0220622258131296,0.0534960258514076,0.0534960258514076,0.0609911791934011,0.070077297675709,0.0584240517123648,0.0471075122711904,0.022688108968787,0.0345101465093127,0.0345101465093127,0.0679161214680392
"12","front page",0.107834289855812,0.117692780737984,0.07298865095932,0.0727146342537291,0.107635877049755,0.0630962011824731,0.0811858417675439,0.105926242038805,0.0590232450529361,0.0492662316219766,0.0592066631250036,0.100064459368918,0.104313637683508,0.073177215638456,0.073177215638456,0.0827817921240829,0.0896710534969273,0.0881779678588241,0.0940077932424627,0.027493030343919,0.0875903638473374,0.0875903638473374,0.078750975102152,0.11061680977979,0.078260550397248,0.0766591893439351,0.0247704935737003,0.0314091089578136,0.0314091089578136,0.0859586791519303
"13","washington",0.105679276759979,0.126755029595866,0.0683960213455474,0.0647565572134878,0.105388618382098,0.0628423852197987,0.0657415999183371,0.102823142715459,0.0525756360533274,0.0600800526795459,0.0614290073400775,0.104313637683508,0.106043671375068,0.0634516231362115,0.0634516231362115,0.0830865899869339,0.0824342829542685,0.081392871958316,0.082325451420579,0.0419159919332548,0.082073689748015,0.082073689748015,0.0696269893112797,0.104992472187514,0.0697690981214124,0.0661047064525471,0.0199308665675488,0.0246249839368049,0.0246249839368049,0.0814858746537741
"14","home",0.0742262046571186,0.0741435531642006,0.0758477763100468,0.0877149114388384,0.116724075884902,0.0542980717050255,0.0899036850584444,0.0951893244583792,0.0990096891208857,0.0610728740810524,0.0626414815096925,0.073177215638456,0.0634516231362115,0.112572905946679,0.211175916397048,0.0661977183027431,0.0971365543144375,0.0852207607736545,0.151664454025,0.0219878332046962,0.0789630959767473,0.0789630959767473,0.0845563191120932,0.101318542625859,0.0842253931113241,0.0650195548206215,0.0360674724472007,0.0748187242229108,0.0748187242229108,0.0998696109817869
"15","garden",0.0742262046571186,0.0741435531642006,0.0758477763100468,0.0877149114388384,0.116724075884902,0.0542980717050255,0.0899036850584444,0.0951893244583792,0.0990096891208857,0.0610728740810524,0.0626414815096925,0.073177215638456,0.0634516231362115,0.211175916397048,0.112572905946679,0.0661977183027431,0.0971365543144375,0.0852207607736545,0.151664454025,0.0219878332046962,0.0789630959767473,0.0789630959767473,0.0845563191120932,0.101318542625859,0.0842253931113241,0.0650195548206215,0.0360674724472007,0.0748187242229108,0.0748187242229108,0.0998696109817869
"16","week in review",0.0796379477763366,0.095497749821038,0.0662898720581189,0.0670223113506388,0.0946231045604255,0.0503120988405927,0.0722271776300493,0.0844205548010176,0.043784916077284,0.0549959513485128,0.0517422123453807,0.0827817921240829,0.0830865899869339,0.0661977183027431,0.0661977183027431,0.0631829783083683,0.0761314517402236,0.079841158639082,0.0877889443341317,0.0406150403194843,0.0746290088663067,0.0746290088663067,0.0603651870935771,0.0865873007272836,0.105917642724097,0.0553081820400658,0.0177749854287408,0.0257155629176996,0.0257155629176996,0.0633595970558413
"17","science",0.0990417904336845,0.0969019662024948,0.0829239842990223,0.0818470467582805,0.114480481243746,0.0719278076466733,0.0893437260385309,0.162402328591846,0.0686246498105376,0.0583651650137825,0.0645000634153817,0.0896710534969273,0.0824342829542684,0.0971365543144374,0.0971365543144374,0.0761314517402236,0.132878284748372,0.0845122936296733,0.118765616900939,0.0229450483716688,0.0861550257397929,0.0861550257397929,0.128632187192627,0.115425332856188,0.0854463304482764,0.0677988332303624,0.0242213107008307,0.0496799439088181,0.0496799439088181,0.211632693526338
"18","books",0.0795212144572284,0.0827474432721957,0.0726273141050945,0.110202635227817,0.0872776631222619,0.055219916078291,0.107899761493593,0.0939750957050006,0.0666056613895741,0.0632119068615008,0.0683542945467052,0.0881779678588241,0.0813928719583159,0.0852207607736545,0.0852207607736545,0.0798411586390821,0.0845122936296733,0.132222394638587,0.103227975353057,0.0330563209661394,0.0758870060391723,0.0758870060391723,0.0741555762261554,0.08813081167797,0.0927253084698115,0.082388858772623,0.0304461384346334,0.0428727303187836,0.0428727303187836,0.0774048691574409
"19","travel",0.0903126114019617,0.0994749194472695,0.0974724365155176,0.0994945220638525,0.152075000189278,0.0698082716539,0.108408449534066,0.118109440535832,0.0849362046857302,0.105241555326823,0.0747822075400828,0.0940077932424627,0.0823254514205791,0.151664454025,0.151664454025,0.0877889443341317,0.118765616900939,0.103227975353057,0.202889893070315,0.0290023534354046,0.0981790592743088,0.0981790592743088,0.0994141888266613,0.120691057596595,0.0947381318913608,0.0719808755323273,0.0352486828192816,0.0939142743100346,0.0939142743100346,0.108851831489807
"20","corrections",0.0301532110748063,0.0286450320243085,0.0248004907698182,0.0228058871423748,0.0303820406443275,0.0211143800543445,0.022182207161671,0.028574496593853,0.0225194795723193,0.0261870987596033,0.0220622258131296,0.0274930303439189,0.0419159919332548,0.0219878332046962,0.0219878332046962,0.0406150403194843,0.0229450483716688,0.0330563209661393,0.0290023534354046,0.0458620381556656,0.0449485626550804,0.0449485626550804,0.0214839150536288,0.031080235880498,0.0245540729915046,0.0266841926103868,0.00867503945070458,0.00894291910722957,0.00894291910722957,0.0241465110752237
"21","new york",0.0921795724940637,0.0884333709331477,0.0727793228488394,0.0689350246799963,0.10715703368306,0.0619079644670626,0.0710871956518803,0.0982719413153382,0.0625651815348611,0.0499533129576176,0.0534960258514077,0.0875903638473373,0.082073689748015,0.0789630959767472,0.0789630959767472,0.0746290088663067,0.0861550257397928,0.0758870060391724,0.0981790592743089,0.0449485626550803,0.0865388986164107,0.097544454054767,0.0756345332136101,0.118757182454571,0.0761359922067674,0.0707436941866298,0.0252920772404732,0.0323688381700415,0.0323688381700415,0.0845359542341176
"22","region",0.0921795724940637,0.0884333709331477,0.0727793228488394,0.0689350246799963,0.10715703368306,0.0619079644670626,0.0710871956518803,0.0982719413153382,0.0625651815348611,0.0499533129576176,0.0534960258514077,0.0875903638473373,0.082073689748015,0.0789630959767472,0.0789630959767472,0.0746290088663067,0.0861550257397928,0.0758870060391724,0.0981790592743089,0.0449485626550803,0.097544454054767,0.0865388986164107,0.0756345332136101,0.118757182454571,0.0761359922067674,0.0707436941866298,0.0252920772404732,0.0323688381700415,0.0323688381700415,0.0845359542341176
"23","technology",0.0884310683442452,0.0837933696716627,0.0710582054065283,0.0725981472705094,0.101181411178124,0.0963750302821914,0.0731723233028656,0.113657008240394,0.0697876899361259,0.0474024615266545,0.0609911791934012,0.078750975102152,0.0696269893112797,0.0845563191120932,0.0845563191120932,0.0603651870935772,0.128632187192627,0.0741555762261554,0.0994141888266613,0.0214839150536288,0.07563453321361,0.07563453321361,0.104758064902011,0.126845925131255,0.0716565472334841,0.0648355186047322,0.0261234604643705,0.0370515798797649,0.0370515798797649,0.19131699651336
"24","education",0.134042669614901,0.112203808906884,0.0878517727629811,0.0795199174550439,0.171008896760609,0.097703692033342,0.069987177431479,0.143347119720195,0.0889608210173083,0.0688929256157178,0.070077297675709,0.11061680977979,0.104992472187514,0.101318542625859,0.101318542625859,0.0865873007272836,0.115425332856188,0.0881308116779699,0.120691057596595,0.031080235880498,0.118757182454571,0.118757182454571,0.126845925131255,0.229535391986378,0.0857332839509656,0.0966369278437925,0.0325164887071037,0.035601879473739,0.035601879473739,0.122522352875097
"25","movies",0.0780412350296796,0.0781875529286043,0.0721565167576812,0.112207256879971,0.0827995083604189,0.0496090336662811,0.128045433051714,0.0881616676126405,0.0636974124350996,0.0588096924733952,0.0584240517123648,0.078260550397248,0.0697690981214124,0.0842253931113242,0.0842253931113242,0.105917642724097,0.0854463304482764,0.0927253084698115,0.0947381318913608,0.0245540729915046,0.0761359922067673,0.0761359922067673,0.071656547233484,0.0857332839509656,0.122645082316638,0.0741470890559181,0.0279564566368884,0.0401995052125436,0.0401995052125436,0.0854294313894431
"26","obituaries",0.083240290987391,0.0711590449033947,0.0589494996926623,0.0710860078974029,0.0794848755567446,0.0513061042555857,0.0786883081424593,0.0791768112188452,0.0772797348658429,0.0423190257482357,0.0471075122711904,0.0766591893439352,0.066104706452547,0.0650195548206215,0.0650195548206215,0.0553081820400658,0.0677988332303624,0.082388858772623,0.0719808755323272,0.0266841926103868,0.0707436941866298,0.0707436941866298,0.0648355186047322,0.0966369278437924,0.0741470890559181,0.09639521521165,0.0330390702580089,0.0280158662495561,0.0280158662495561,0.0643414045084338
"27","paid death notices",0.0226352810517531,0.0205291195504435,0.0244000174515397,0.0299761004327678,0.0235289686334723,0.0153217205914392,0.0318994195529299,0.0254105624522662,0.0367710111422946,0.0203951196608113,0.022688108968787,0.0247704935737003,0.0199308665675488,0.0360674724472007,0.0360674724472007,0.0177749854287408,0.0242213107008306,0.0304461384346334,0.0352486828192816,0.00867503945070458,0.0252920772404732,0.0252920772404732,0.0261234604643705,0.0325164887071037,0.0279564566368884,0.0330390702580089,0.0623765790773857,0.0165034119591716,0.0165034119591716,0.0224018957079621
"28","dining",0.029556452673069,0.0306404968191145,0.0409166724394883,0.0435392007030203,0.0352554976833357,0.0207312441072422,0.0507439102725181,0.0456507158120741,0.0726867841259411,0.0403133141294048,0.0345101465093127,0.0314091089578136,0.0246249839368049,0.0748187242229108,0.0748187242229108,0.0257155629176996,0.0496799439088181,0.0428727303187836,0.0939142743100346,0.00894291910722957,0.0323688381700415,0.0323688381700415,0.0370515798797649,0.035601879473739,0.0401995052125436,0.0280158662495561,0.0165034119591716,0.189176633183074,0.459451088788716,0.0455331459670927
"29","wine",0.029556452673069,0.0306404968191145,0.0409166724394883,0.0435392007030203,0.0352554976833357,0.0207312441072422,0.0507439102725181,0.0456507158120741,0.0726867841259411,0.0403133141294048,0.0345101465093127,0.0314091089578136,0.0246249839368049,0.0748187242229108,0.0748187242229108,0.0257155629176996,0.0496799439088181,0.0428727303187836,0.0939142743100346,0.00894291910722957,0.0323688381700415,0.0323688381700415,0.0370515798797649,0.035601879473739,0.0401995052125436,0.0280158662495561,0.0165034119591716,0.459451088788716,0.189176633183074,0.0455331459670927
"30","automobiles",0.101612579513896,0.0996799382694946,0.0781932433696341,0.0787894562081873,0.127533684478666,0.0762832433011753,0.0865023773984347,0.139708338431799,0.0697758933604079,0.0641313059917545,0.0679161214680392,0.0859586791519303,0.0814858746537741,0.0998696109817869,0.0998696109817869,0.0633595970558413,0.211632693526338,0.0774048691574409,0.108851831489807,0.0241465110752237,0.0845359542341176,0.0845359542341176,0.19131699651336,0.122522352875097,0.0854294313894431,0.0643414045084338,0.0224018957079621,0.0455331459670927,0.0455331459670927,1
